definition,instances,accuracy,task in allenai dataset,id
"In this task, based on a given sentence, we ask you to write a question that involves \""transient vs. stationary\"" events, i.e., the understanding of whether an event will change over time(transient event) or not(stationary event). For example, the sentence \""he was born in the U.S.\"" contains a stationary event since it will last forever; however, \""he is hungry\"" contains a transient event since it will remain true for a short period of time. \nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer.","Sentence: Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained.",0.9,task006_mctaco_question_generation_transient_stationary.json,ID1
"In this task, based on a given sentence, we ask you to write a question that involves \""transient vs. stationary\"" events, i.e., the understanding of whether an event will change over time(transient event) or not(stationary event). For example, the sentence \""he was born in the U.S.\"" contains a stationary event since it will last forever; however, \""he is hungry\"" contains a transient event since it will remain true for a short period of time. \nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer.",Sentence: His counter-attack with Dayak warriors drove the Chinese out of Bau and across the Sarawak border.,0.8,,ID1
"In this task, based on a given sentence, we ask you to write a question that involves \""transient vs. stationary\"" events, i.e., the understanding of whether an event will change over time(transient event) or not(stationary event). For example, the sentence \""he was born in the U.S.\"" contains a stationary event since it will last forever; however, \""he is hungry\"" contains a transient event since it will remain true for a short period of time. \nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer.","Sentence: But he told us that he could not drum up much interest in or money for such a purpose from Washington, partly, he thought, because these countries had dictatorial governments.",0.7,,ID1
"In this task, based on a given sentence, we ask you to write a question that involves \""transient vs. stationary\"" events, i.e., the understanding of whether an event will change over time(transient event) or not(stationary event). For example, the sentence \""he was born in the U.S.\"" contains a stationary event since it will last forever; however, \""he is hungry\"" contains a transient event since it will remain true for a short period of time. \nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer.","Sentence: At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said \""we have some planes.",0.75,,ID1
"In this task, based on a given sentence, we ask you to write a question that involves \""transient vs. stationary\"" events, i.e., the understanding of whether an event will change over time(transient event) or not(stationary event). For example, the sentence \""he was born in the U.S.\"" contains a stationary event since it will last forever; however, \""he is hungry\"" contains a transient event since it will remain true for a short period of time. \nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer.","Sentence: Joe did and after he got a bandage on his arm, he and his father rode in the field on the tractor.",0.66,,ID1
"In this task, based on a given sentence, we ask you to write a question that involves \""transient vs. stationary\"" events, i.e., the understanding of whether an event will change over time(transient event) or not(stationary event). For example, the sentence \""he was born in the U.S.\"" contains a stationary event since it will last forever; however, \""he is hungry\"" contains a transient event since it will remain true for a short period of time. \nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer.",Sentence: Some government officials were concerned that terrorists would take advantage of such breakdowns.,0.88,,ID1
"In this task, based on a given sentence, we ask you to write a question that involves \""transient vs. stationary\"" events, i.e., the understanding of whether an event will change over time(transient event) or not(stationary event). For example, the sentence \""he was born in the U.S.\"" contains a stationary event since it will last forever; however, \""he is hungry\"" contains a transient event since it will remain true for a short period of time. \nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer.",Sentence: Pushkin gradually became committed to social reform and emerged as a spokesman for literary radicals.,0.33,,ID1
"In this task, based on a given sentence, we ask you to write a question that involves \""transient vs. stationary\"" events, i.e., the understanding of whether an event will change over time(transient event) or not(stationary event). For example, the sentence \""he was born in the U.S.\"" contains a stationary event since it will last forever; however, \""he is hungry\"" contains a transient event since it will remain true for a short period of time. \nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer.","Sentence: He was asked to lend his support by writing a letter, with Szilard, to President Roosevelt, recommending the U.S. pay attention and engage in its own nuclear weapons research.",0.27,,ID1
"In this task, based on a given sentence, we ask you to write a question that involves \""transient vs. stationary\"" events, i.e., the understanding of whether an event will change over time(transient event) or not(stationary event). For example, the sentence \""he was born in the U.S.\"" contains a stationary event since it will last forever; however, \""he is hungry\"" contains a transient event since it will remain true for a short period of time. \nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer.",Sentence: The properties of matter depend on the types of atoms that matter is made of.,0.78,,ID1
"In this task, based on a given sentence, we ask you to write a question that involves \""transient vs. stationary\"" events, i.e., the understanding of whether an event will change over time(transient event) or not(stationary event). For example, the sentence \""he was born in the U.S.\"" contains a stationary event since it will last forever; however, \""he is hungry\"" contains a transient event since it will remain true for a short period of time. \nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer.","Sentence: Partial lunar eclipses occur at least twice a year, but total lunar eclipses are less common.",0.56,,ID1
"In this task, based on a given sentence, we ask you to write a question that involves ordering of event , i.e., the understanding of how events are usually ordered. For example, \""earning money\"" usually appears before \""spending money\"".\nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer.","Sentence: It's hail crackled across the comm, and Tara spun to retake her seat at the helm.",0.65,task009_mctaco_question_generation_event_ordering.json,ID2
"In this task, based on a given sentence, we ask you to write a question that involves ordering of event , i.e., the understanding of how events are usually ordered. For example, \""earning money\"" usually appears before \""spending money\"".\nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer.","Sentence: Still , Preetam vows to marry Nandini if she meets him again",0.44,,ID2
"In this task, based on a given sentence, we ask you to write a question that involves ordering of event , i.e., the understanding of how events are usually ordered. For example, \""earning money\"" usually appears before \""spending money\"".\nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer.",Sentence: Max and Joey would often run through fields in a game of chase.,0.92,,ID2
"In this task, based on a given sentence, we ask you to write a question that involves ordering of event , i.e., the understanding of how events are usually ordered. For example, \""earning money\"" usually appears before \""spending money\"".\nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer.","Sentence: Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin.",0.23,,ID2
"In this task, based on a given sentence, we ask you to write a question that involves ordering of event , i.e., the understanding of how events are usually ordered. For example, \""earning money\"" usually appears before \""spending money\"".\nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer.",Sentence: His counter-attack with Dayak warriors drove the Chinese out of Bau and across the Sarawak border.,0.18,,ID2
"In this task, based on a given sentence, we ask you to write a question that involves ordering of event , i.e., the understanding of how events are usually ordered. For example, \""earning money\"" usually appears before \""spending money\"".\nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer.",Sentence: About 30% of Ratners's profit already is derived from the U.S.,0.18,,ID2
"In this task, based on a given sentence, we ask you to write a question that involves ordering of event , i.e., the understanding of how events are usually ordered. For example, \""earning money\"" usually appears before \""spending money\"".\nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer.","Sentence: Lennon accuses his father of leaving him again , and then leaves , after telling his father that he wo n't live with him anymore ",0.54,,ID2
"In this task, based on a given sentence, we ask you to write a question that involves ordering of event , i.e., the understanding of how events are usually ordered. For example, \""earning money\"" usually appears before \""spending money\"".\nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer.",Sentence: There was even a tiny room in the back of one of the closets.,0.37,,ID2
"In this task, based on a given sentence, we ask you to write a question that involves ordering of event , i.e., the understanding of how events are usually ordered. For example, \""earning money\"" usually appears before \""spending money\"".\nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer.",Sentence: The king of Gandhara then stops everyone from grabbing the little food that is provided .,0.84,,ID2
"In this task, based on a given sentence, we ask you to write a question that involves ordering of event , i.e., the understanding of how events are usually ordered. For example, \""earning money\"" usually appears before \""spending money\"".\nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer.","Sentence: Several tenants blame other neighbors as perpetrators of the rift, however.",0.99,,ID2
"In this task, based on the given input, we ask you to write a question about when an event happened. Your question should be answerable with common knowledge on when events usually take place. For example, \""going to school\"" usually happens during the day (not at 2 A.M). \nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer. ","Sentence: It's hail crackled across the comm, and Tara spun to retake her seat at the helm.",0.12,task012_mctaco_question_generation_absolute_timepoint.json,ID3
"In this task, based on the given input, we ask you to write a question about when an event happened. Your question should be answerable with common knowledge on when events usually take place. For example, \""going to school\"" usually happens during the day (not at 2 A.M). \nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer. ",Sentence: Pushkin gradually became committed to social reform and emerged as a spokesman for literary radicals.,0.26,,ID3
"In this task, based on the given input, we ask you to write a question about when an event happened. Your question should be answerable with common knowledge on when events usually take place. For example, \""going to school\"" usually happens during the day (not at 2 A.M). \nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer. ",Sentence: What if you rode the bus or were driven in a car?.,0.74,,ID3
"In this task, based on the given input, we ask you to write a question about when an event happened. Your question should be answerable with common knowledge on when events usually take place. For example, \""going to school\"" usually happens during the day (not at 2 A.M). \nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer. ","Sentence: The Beatles are giving a press conference about their new film , Magical Mystery Tour .",0.66,,ID3
"In this task, based on the given input, we ask you to write a question about when an event happened. Your question should be answerable with common knowledge on when events usually take place. For example, \""going to school\"" usually happens during the day (not at 2 A.M). \nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer. ","Sentence: Safti admits his love for Edwina to Lord Esketh , who is now sympathetic toward this good man's plight .",0.56,,ID3
"In this task, based on the given input, we ask you to write a question about when an event happened. Your question should be answerable with common knowledge on when events usually take place. For example, \""going to school\"" usually happens during the day (not at 2 A.M). \nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer. ",Sentence: No defendants were ordered to pay more than a $250 fine for violating the court order.,0.9,,ID3
"In this task, based on the given input, we ask you to write a question about when an event happened. Your question should be answerable with common knowledge on when events usually take place. For example, \""going to school\"" usually happens during the day (not at 2 A.M). \nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer. ",Sentence: Casino operators had to reassess the nature of their business.,0.37,,ID3
"In this task, based on the given input, we ask you to write a question about when an event happened. Your question should be answerable with common knowledge on when events usually take place. For example, \""going to school\"" usually happens during the day (not at 2 A.M). \nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer. ","Sentence: Soaking wet, he ran toward where I was eating a sandwich on the grass and curled right up in my lap so I could make him feel better.",0.48,,ID3
"In this task, based on the given input, we ask you to write a question about when an event happened. Your question should be answerable with common knowledge on when events usually take place. For example, \""going to school\"" usually happens during the day (not at 2 A.M). \nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer. ","Sentence: What we call the lab-to-fab time should be as close to zero as possible, Kelly said.",0.41,,ID3
"In this task, based on the given input, we ask you to write a question about when an event happened. Your question should be answerable with common knowledge on when events usually take place. For example, \""going to school\"" usually happens during the day (not at 2 A.M). \nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer. ","Sentence: However , by the time Schahzenan's army reaches the city , Scheherazade's plan has worked .",0.66,,ID3
"Provided the input sentence, you're expected to write a question that involves event \""frequency\"", which refers to how often an event is likely to be repeated. For example, \""taking showers\"" typically occurs ~5 times a week, \""going to saturday market\"" usually happens every few weeks/months, etc. \nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer. ","Sentence: Wallace, 38, called Gastonia home from the age of 8 until she graduated from Hunter Huss High School in 1983.",0.35,task015_mctaco_question_generation_frequency.json,ID4
"Provided the input sentence, you're expected to write a question that involves event \""frequency\"", which refers to how often an event is likely to be repeated. For example, \""taking showers\"" typically occurs ~5 times a week, \""going to saturday market\"" usually happens every few weeks/months, etc. \nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer. ",Sentence: Jerry goes out to the pier and casts his favorite bait : cheese .,0.76,,ID4
"Provided the input sentence, you're expected to write a question that involves event \""frequency\"", which refers to how often an event is likely to be repeated. For example, \""taking showers\"" typically occurs ~5 times a week, \""going to saturday market\"" usually happens every few weeks/months, etc. \nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer. ",Sentence: She ordered the tastiest kind of each vegetable and the prettiest kind of each flower.,0.48,,ID4
"Provided the input sentence, you're expected to write a question that involves event \""frequency\"", which refers to how often an event is likely to be repeated. For example, \""taking showers\"" typically occurs ~5 times a week, \""going to saturday market\"" usually happens every few weeks/months, etc. \nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer. ","Sentence: Several tenants blame other neighbors as perpetrators of the rift, however.",0.19,,ID4
"Provided the input sentence, you're expected to write a question that involves event \""frequency\"", which refers to how often an event is likely to be repeated. For example, \""taking showers\"" typically occurs ~5 times a week, \""going to saturday market\"" usually happens every few weeks/months, etc. \nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer. ",Sentence: The king of Gandhara then stops everyone from grabbing the little food that is provided .,0.41,,ID4
"Provided the input sentence, you're expected to write a question that involves event \""frequency\"", which refers to how often an event is likely to be repeated. For example, \""taking showers\"" typically occurs ~5 times a week, \""going to saturday market\"" usually happens every few weeks/months, etc. \nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer. ",Sentence: There was even a tiny room in the back of one of the closets.,0.53,,ID4
