definition,instances,accuracy,task in allenai dataset,id
"Provided the input sentence, you're expected to write a question that involves event \""frequency\"", which refers to how often an event is likely to be repeated. For example, \""taking showers\"" typically occurs ~5 times a week, \""going to saturday market\"" usually happens every few weeks/months, etc. \nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer. ","Sentence: In 1930, the poet Muhammad Iqbal proposed a separate Muslim homeland in the northwest of India.",0.55,,ID4
"Provided the input sentence, you're expected to write a question that involves event \""frequency\"", which refers to how often an event is likely to be repeated. For example, \""taking showers\"" typically occurs ~5 times a week, \""going to saturday market\"" usually happens every few weeks/months, etc. \nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer. ",Sentence: Bailey received the award for his three years of volunteer work at Indiana Pro Bono Commission.,0.61,,ID4
"Provided the input sentence, you're expected to write a question that involves event \""frequency\"", which refers to how often an event is likely to be repeated. For example, \""taking showers\"" typically occurs ~5 times a week, \""going to saturday market\"" usually happens every few weeks/months, etc. \nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer. ",Sentence: About 30% of Ratners's profit already is derived from the U.S.,0.78,,ID4
"Provided the input sentence, you're expected to write a question that involves event \""frequency\"", which refers to how often an event is likely to be repeated. For example, \""taking showers\"" typically occurs ~5 times a week, \""going to saturday market\"" usually happens every few weeks/months, etc. \nThings to avoid: Don't create questions which have explicit mentions of answers in text. Instead, it has to be implied from what is given. In other words, we want you to use \""instinct\"" or \""common sense\"".\nEmphasis & Caution: The written questions are not required to have a single correct answer. ",Sentence: I suppose he was attracted to the commotion up the hill.,0.45,,ID4
"Given scientific fact as input, generate the question from this fact such that it can be answered from the input.",Saturn is made mostly of helium and hydrogen.,0.35,task1552_scitail_question_generation.json,ID5
"Given scientific fact as input, generate the question from this fact such that it can be answered from the input.",Cellulose is created by the polymerization of glucose.,0.18,,ID5
"Given scientific fact as input, generate the question from this fact such that it can be answered from the input.","Proteins is needed to create muscles, regulate chemical reactions, and transport oxygen.",0.45,,ID5
"Given scientific fact as input, generate the question from this fact such that it can be answered from the input.","Of the four main wobble base pairs, guanine is paired with uracil.",0.82,,ID5
"Given scientific fact as input, generate the question from this fact such that it can be answered from the input.",Genome mapping term is used to describe the process of finding the location of genes on each chromosome.,0.99,,ID5
"Given scientific fact as input, generate the question from this fact such that it can be answered from the input.",The term macroevolution refers to larger evolutionary changes that result in new species.,0.12,,ID5
"Given scientific fact as input, generate the question from this fact such that it can be answered from the input.",Are thunderstorms more likely extremely high the ground temperatures are extremely high or extremely low.,0.22,,ID5
"Given scientific fact as input, generate the question from this fact such that it can be answered from the input.","The stomach mucosa’s epithelial lining consists only of surface mucus cells, which secrete a protective coat of alkaline mucus.",0.75,,ID5
"Given scientific fact as input, generate the question from this fact such that it can be answered from the input.",Ovulation occurs before the endometrium thickens in estrous cycles.,0.88,,ID5
"Given scientific fact as input, generate the question from this fact such that it can be answered from the input.",No reaction happens when alkanes are mixed with oxygen at room temperature.,0.55,,ID5
"In this task, you are given a sentence and a verb from the sentence. Your task is to generate a set of wh-questions starting with who, what, when, where, why, how, how much. The generated questions must contain the verb and the answers to these questions are phrases in the input sentence. The answer to the questions is associated with a specific semantic role. The answer to these questions is associated with a specific semantic role. The questions must use pronouns instead of direct nouns that could be used to refer to various roles present in the sentence. Construct a question in such a way that (i) it is unambiguous, (ii) its answer is unique (iii) its answer is a continuous text span from the paragraph.",Sentence: Ladd has won a Golden Globe and a BAFTA and has been nominated three times for the Academy Award for Best Supporting Actress . \n Verb: won,0.44,task1519_qa_srl_question_generation.json,ID6
"In this task, you are given a sentence and a verb from the sentence. Your task is to generate a set of wh-questions starting with who, what, when, where, why, how, how much. The generated questions must contain the verb and the answers to these questions are phrases in the input sentence. The answer to the questions is associated with a specific semantic role. The answer to these questions is associated with a specific semantic role. The questions must use pronouns instead of direct nouns that could be used to refer to various roles present in the sentence. Construct a question in such a way that (i) it is unambiguous, (ii) its answer is unique (iii) its answer is a continuous text span from the paragraph.",Sentence: Ladd has won a Golden Globe and a BAFTA and has been nominated three times for the Academy Award for Best Supporting Actress . \n Verb: nominated,0.51,,ID6
"In this task, you are given a sentence and a verb from the sentence. Your task is to generate a set of wh-questions starting with who, what, when, where, why, how, how much. The generated questions must contain the verb and the answers to these questions are phrases in the input sentence. The answer to the questions is associated with a specific semantic role. The answer to these questions is associated with a specific semantic role. The questions must use pronouns instead of direct nouns that could be used to refer to various roles present in the sentence. Construct a question in such a way that (i) it is unambiguous, (ii) its answer is unique (iii) its answer is a continuous text span from the paragraph.",Sentence: Ladd has won a Golden Globe and a BAFTA and has been nominated three times for the Academy Award for Best Supporting Actress . \n Verb: supporting,0.81,,ID6
"In this task, you are given a sentence and a verb from the sentence. Your task is to generate a set of wh-questions starting with who, what, when, where, why, how, how much. The generated questions must contain the verb and the answers to these questions are phrases in the input sentence. The answer to the questions is associated with a specific semantic role. The answer to these questions is associated with a specific semantic role. The questions must use pronouns instead of direct nouns that could be used to refer to various roles present in the sentence. Construct a question in such a way that (i) it is unambiguous, (ii) its answer is unique (iii) its answer is a continuous text span from the paragraph.","Sentence: In England , at the time of the Domesday Survey , this would have comprised between about 1 and 5 acres . \n Verb: comprised",0.32,,ID6
"In this task, you are given a sentence and a verb from the sentence. Your task is to generate a set of wh-questions starting with who, what, when, where, why, how, how much. The generated questions must contain the verb and the answers to these questions are phrases in the input sentence. The answer to the questions is associated with a specific semantic role. The answer to these questions is associated with a specific semantic role. The questions must use pronouns instead of direct nouns that could be used to refer to various roles present in the sentence. Construct a question in such a way that (i) it is unambiguous, (ii) its answer is unique (iii) its answer is a continuous text span from the paragraph.","Sentence: As ionospheric conditions and mobile-node locations change , these quality tuples will shift . \n Verb: change",0.81,,ID6
"In this task, you are given a sentence and a verb from the sentence. Your task is to generate a set of wh-questions starting with who, what, when, where, why, how, how much. The generated questions must contain the verb and the answers to these questions are phrases in the input sentence. The answer to the questions is associated with a specific semantic role. The answer to these questions is associated with a specific semantic role. The questions must use pronouns instead of direct nouns that could be used to refer to various roles present in the sentence. Construct a question in such a way that (i) it is unambiguous, (ii) its answer is unique (iii) its answer is a continuous text span from the paragraph.","Sentence: As ionospheric conditions and mobile-node locations change , these quality tuples will shift . \n Verb: shift",0.34,,ID6
"In this task, you are given a sentence and a verb from the sentence. Your task is to generate a set of wh-questions starting with who, what, when, where, why, how, how much. The generated questions must contain the verb and the answers to these questions are phrases in the input sentence. The answer to the questions is associated with a specific semantic role. The answer to these questions is associated with a specific semantic role. The questions must use pronouns instead of direct nouns that could be used to refer to various roles present in the sentence. Construct a question in such a way that (i) it is unambiguous, (ii) its answer is unique (iii) its answer is a continuous text span from the paragraph.",Sentence: The economy of the early village was based on fishing and ship building . \n Verb: based,0.49,,ID6
"In this task, you are given a sentence and a verb from the sentence. Your task is to generate a set of wh-questions starting with who, what, when, where, why, how, how much. The generated questions must contain the verb and the answers to these questions are phrases in the input sentence. The answer to the questions is associated with a specific semantic role. The answer to these questions is associated with a specific semantic role. The questions must use pronouns instead of direct nouns that could be used to refer to various roles present in the sentence. Construct a question in such a way that (i) it is unambiguous, (ii) its answer is unique (iii) its answer is a continuous text span from the paragraph.","Sentence: The Venezuelan government declined to appeal the case any further , and in November 1987 Bosch was freed . \n Verb: declined",0.52,,ID6
"In this task, you are given a sentence and a verb from the sentence. Your task is to generate a set of wh-questions starting with who, what, when, where, why, how, how much. The generated questions must contain the verb and the answers to these questions are phrases in the input sentence. The answer to the questions is associated with a specific semantic role. The answer to these questions is associated with a specific semantic role. The questions must use pronouns instead of direct nouns that could be used to refer to various roles present in the sentence. Construct a question in such a way that (i) it is unambiguous, (ii) its answer is unique (iii) its answer is a continuous text span from the paragraph.","Sentence: The Venezuelan government declined to appeal the case any further , and in November 1987 Bosch was freed . \n Verb: appeal",0.48,,ID6
"In this task, you are given a sentence and a verb from the sentence. Your task is to generate a set of wh-questions starting with who, what, when, where, why, how, how much. The generated questions must contain the verb and the answers to these questions are phrases in the input sentence. The answer to the questions is associated with a specific semantic role. The answer to these questions is associated with a specific semantic role. The questions must use pronouns instead of direct nouns that could be used to refer to various roles present in the sentence. Construct a question in such a way that (i) it is unambiguous, (ii) its answer is unique (iii) its answer is a continuous text span from the paragraph.","Sentence: The Venezuelan government declined to appeal the case any further , and in November 1987 Bosch was freed . \n Verb: freed",0.72,,ID6
"In this task, you will be given a passage consisting of set of facts. The task is to create a question of form 'Where is <person_name>?' that is answerable from exactly one of the given facts. Avoid creating questions that are unanswerable from all of the facts",Passage:  Sandra travelled to the office. Sandra went to the bathroom.,0.86,task082_babi_t1_single_supporting_fact_question_generation.json,ID7
"In this task, you will be given a passage consisting of set of facts. The task is to create a question of form 'Where is <person_name>?' that is answerable from exactly one of the given facts. Avoid creating questions that are unanswerable from all of the facts",Passage:  Sandra travelled to the office. Sandra went to the bathroom. Mary went to the bedroom. Daniel moved to the hallway.,0.49,,ID7
"In this task, you will be given a passage consisting of set of facts. The task is to create a question of form 'Where is <person_name>?' that is answerable from exactly one of the given facts. Avoid creating questions that are unanswerable from all of the facts",Passage:  Mary went to the bedroom. John journeyed to the bathroom.,0.52,,ID7
"In this task, you will be given a passage consisting of set of facts. The task is to create a question of form 'Where is <person_name>?' that is answerable from exactly one of the given facts. Avoid creating questions that are unanswerable from all of the facts",Passage: Mary went to the bedroom. John journeyed to the bathroom. Sandra journeyed to the hallway. John journeyed to the garden.,0.58,,ID7
"In this task, you will be given a passage consisting of set of facts. The task is to create a question of form 'Where is <person_name>?' that is answerable from exactly one of the given facts. Avoid creating questions that are unanswerable from all of the facts",Passage: Daniel journeyed to the kitchen. Daniel journeyed to the bedroom.,0.91,,ID7
"In this task, you will be given a passage consisting of set of facts. The task is to create a question of form 'Where is <person_name>?' that is answerable from exactly one of the given facts. Avoid creating questions that are unanswerable from all of the facts",Passage: Daniel journeyed to the kitchen. Daniel journeyed to the bedroom. Sandra moved to the garden. Sandra went back to the kitchen.,0.87,,ID7
"In this task, you will be given a passage consisting of set of facts. The task is to create a question of form 'Where is <person_name>?' that is answerable from exactly one of the given facts. Avoid creating questions that are unanswerable from all of the facts",Passage: Mary moved to the garden. John journeyed to the bathroom.,0.83,,ID7
"In this task, you will be given a passage consisting of set of facts. The task is to create a question of form 'Where is <person_name>?' that is answerable from exactly one of the given facts. Avoid creating questions that are unanswerable from all of the facts",Passage: Mary moved to the garden. John journeyed to the bathroom. Sandra moved to the office. John moved to the kitchen.,0.84,,ID7
"In this task, you will be given a passage consisting of set of facts. The task is to create a question of form 'Where is <person_name>?' that is answerable from exactly one of the given facts. Avoid creating questions that are unanswerable from all of the facts",Passage: Mary moved to the garden. Daniel journeyed to the bathroom.,0.45,,ID7
"In this task, you will be given a passage consisting of set of facts. The task is to create a question of form 'Where is <person_name>?' that is answerable from exactly one of the given facts. Avoid creating questions that are unanswerable from all of the facts",Passage: John moved to the bedroom. Mary moved to the hallway.,0.66,,ID7
"You will be given a context, a subject and a relation. Your task is to generate a question based on the subject and relation. The generated question should include the given subject. Try to use a minimum number of words that are not present in either context, subject or relation while generating question.","Context : UK (an abbreviation of CountDown United Kingdom) was broadcast, with the same presenters as SMTV Live. \nSubject : SMTV Live \nRelation : original network",0.29,task1325_qa_zre_question_generation_on_subject_relation.json,ID8
"You will be given a context, a subject and a relation. Your task is to generate a question based on the subject and relation. The generated question should include the given subject. Try to use a minimum number of words that are not present in either context, subject or relation while generating question.","Context : Antonio Cur\u00f2 (21 June 1828, Bergamo -- 10 May 1906) was an Italian engineer and entomologist. \nSubject : Antonio Cur\u00f2 \nRelation : occupation",0.37,,ID8
"You will be given a context, a subject and a relation. Your task is to generate a question based on the subject and relation. The generated question should include the given subject. Try to use a minimum number of words that are not present in either context, subject or relation while generating question.","Context : Bernard Chenot (20 May 1909, Paris -- 5 June 1995) was a French politician and senior official. \nSubject : Bernard Chenot \nRelation : date of death",0.43,,ID8
"You will be given a context, a subject and a relation. Your task is to generate a question based on the subject and relation. The generated question should include the given subject. Try to use a minimum number of words that are not present in either context, subject or relation while generating question.","Context : Tariq Abdul-Wahad (born Olivier Michael Saint-Jean; November 3, 1974) is a French basketball coach and former player. \nSubject : Tariq Abdul-Wahad \nRelation : drafted by",0.54,,ID8
"You will be given a context, a subject and a relation. Your task is to generate a question based on the subject and relation. The generated question should include the given subject. Try to use a minimum number of words that are not present in either context, subject or relation while generating question.",Context : HD 132563 is a triple star system in the constellation Bo\u00f6tes. \nSubject : HD 132563 \nRelation : constellation,0.74,,ID8
"You will be given a context, a subject and a relation. Your task is to generate a question based on the subject and relation. The generated question should include the given subject. Try to use a minimum number of words that are not present in either context, subject or relation while generating question.","Context : NGC 185 was discovered by William Herschel on November 30, 1787, and he cataloged it ``H II.707''. \nSubject : NGC 185 \nRelation : constellation",0.66,,ID8
"You will be given a context, a subject and a relation. Your task is to generate a question based on the subject and relation. The generated question should include the given subject. Try to use a minimum number of words that are not present in either context, subject or relation while generating question.","Context : Joseph J. Went was born in New Milford, Connecticut on 16 September 1930. \nSubject : Joseph J. Went \nRelation : military branch",0.59,,ID8
"You will be given a context, a subject and a relation. Your task is to generate a question based on the subject and relation. The generated question should include the given subject. Try to use a minimum number of words that are not present in either context, subject or relation while generating question.",Context : The Matrix is a 1999 American-- \nSubject : The Matrix \nRelation : production company,0.41,,ID8
"You will be given a context, a subject and a relation. Your task is to generate a question based on the subject and relation. The generated question should include the given subject. Try to use a minimum number of words that are not present in either context, subject or relation while generating question.",Context : Novatek and Gazprom plan to build a liquefied natural gas plant in Yamalo-Nenets Autonomous Okrug. \nSubject : Novatek \nRelation : parent company,0.33,,ID8
"You will be given a context, a subject and a relation. Your task is to generate a question based on the subject and relation. The generated question should include the given subject. Try to use a minimum number of words that are not present in either context, subject or relation while generating question.",Context : Black Sabbath were inducted into the UK Music Hall of Fame in 2005 and the Rock and Roll Hall of Fame in 2006. \nSubject : Black Sabbath \nRelation : award received,0.28,,ID8
"Generate a question which can yield the answer mentioned in the input. Things to follow while generating the dataset. 1. Generated question must be answered by the answer provided in input, without using any extra knowledge",Context : Paris in Spring (also released as Paris Love Song) is a 1935 black and white musical comedy film directed by Lewis Milestone for Paramount Pictures. \nAnswer : Paramount Pictures,0.11,task1326_qa_zre_question_generation_from_answer.json,ID9
"Generate a question which can yield the answer mentioned in the input. Things to follow while generating the dataset. 1. Generated question must be answered by the answer provided in input, without using any extra knowledge","Context : The Vision of Saint Eustace is a painting by the early Italian Renaissance master Pisanello, now in the National Gallery in London. \nAnswer : National Gallery",0.45,,ID9
"Generate a question which can yield the answer mentioned in the input. Things to follow while generating the dataset. 1. Generated question must be answered by the answer provided in input, without using any extra knowledge","Bernard Chenot (20 May 1909, Paris -- 5 June 1995) was a French politician and senior official. \nAnswer : 5 June 1995",0.62,,ID9
"Generate a question which can yield the answer mentioned in the input. Things to follow while generating the dataset. 1. Generated question must be answered by the answer provided in input, without using any extra knowledge","Cython is a derivative of the Pyrex language, and supports more features and optimizations than Pyrex. \nAnswer : Pyrex",0.88,,ID9
"Generate a question which can yield the answer mentioned in the input. Things to follow while generating the dataset. 1. Generated question must be answered by the answer provided in input, without using any extra knowledge",Context : HD 132563 is a triple star system in the constellation Bo\u00f6tes. \nAnswer : Bo\u00f6tes,0.81,,ID9
"Generate a question which can yield the answer mentioned in the input. Things to follow while generating the dataset. 1. Generated question must be answered by the answer provided in input, without using any extra knowledge",Context : Novatek and Gazprom plan to build a liquefied natural gas plant in Yamalo-Nenets Autonomous Okrug. \nAnswer : Gazprom,0.74,,ID9
"Generate a question which can yield the answer mentioned in the input. Things to follow while generating the dataset. 1. Generated question must be answered by the answer provided in input, without using any extra knowledge","Context : Juan Pablo Cardenal Nicolau (Barcelona, 1968) is a Spanish journalist and writer. \nAnswer : journalist",0.33,,ID9
"Generate a question which can yield the answer mentioned in the input. Things to follow while generating the dataset. 1. Generated question must be answered by the answer provided in input, without using any extra knowledge","Context : Previously known as LAV-300 A1, it was named LAV-600 in 1986. \nAnswer : 1986",0.48,,ID9
"Generate a question which can yield the answer mentioned in the input. Things to follow while generating the dataset. 1. Generated question must be answered by the answer provided in input, without using any extra knowledge",Context : WASP-43 is a K-type star in the Sextans constellation. \nAnswer : Sextans,0.53,,ID9
"Generate a question which can yield the answer mentioned in the input. Things to follow while generating the dataset. 1. Generated question must be answered by the answer provided in input, without using any extra knowledge",Context : Nerds FC is produced by SBS independent and Grundy Television (which has now merged with Crackerjack to become FremantleMedia Australia). \nAnswer : FremantleMedia,0.52,,ID9
"Given a fact, create a question that can be answered using the fact. Construct the question such that it is unambiguous, has a unique answer and the answer can be given using the fact."",","Fact: as a source of light becomes closer , that source will appear brighter",0.17,task1398_obqa_question_generation.json,ID10
"Given a fact, create a question that can be answered using the fact. Construct the question such that it is unambiguous, has a unique answer and the answer can be given using the fact."",",Fact: a seismometer is used to measure the strength or magnitude of an earthquake,0.27,,ID10
"Given a fact, create a question that can be answered using the fact. Construct the question such that it is unambiguous, has a unique answer and the answer can be given using the fact."",",Fact: high tide is a stage in the tide cycle process,0.33,,ID10
"Given a fact, create a question that can be answered using the fact. Construct the question such that it is unambiguous, has a unique answer and the answer can be given using the fact."",",Fact: An example of a chemical change is acid breaking down substances,0.66,,ID10
"Given a fact, create a question that can be answered using the fact. Construct the question such that it is unambiguous, has a unique answer and the answer can be given using the fact."",","Fact: as distance to a city decreases , the amount of light pollution will increase",0.61,,ID10
"Given a fact, create a question that can be answered using the fact. Construct the question such that it is unambiguous, has a unique answer and the answer can be given using the fact."",",Fact: winter is when a hemisphere is tilted away from the sun,0.54,,ID10
"Given a fact, create a question that can be answered using the fact. Construct the question such that it is unambiguous, has a unique answer and the answer can be given using the fact."",",Fact: a doorbell converts electrical energy into sound,0.38,,ID10
"Given a fact, create a question that can be answered using the fact. Construct the question such that it is unambiguous, has a unique answer and the answer can be given using the fact."",",Fact: a stove generates heat for cooking usually,0.82,,ID10
"Given a fact, create a question that can be answered using the fact. Construct the question such that it is unambiguous, has a unique answer and the answer can be given using the fact."",",Fact: sunlight produces heat,0.38,,ID10
"Given a fact, create a question that can be answered using the fact. Construct the question such that it is unambiguous, has a unique answer and the answer can be given using the fact."",",Fact: a tape measure is used to measure length,0.49,,ID10
